,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
11, Vs ,,2,Dawid Malan, b Bumrah,16,17,2,1,94.11
12, Vs ,,3,Joe Root,lbw b Bumrah,0,1,0,0,0.00
13, Vs ,,4,Ben Stokes, b Mohammed Shami,0,10,0,0,0.00
14, Vs ,,5,Jos Buttler(c)â€ , b Kuldeep Yadav,10,23,1,0,43.47
15, Vs ,,6,Moeen Ali,c â€ Rahul b Mohammed Shami,15,31,0,0,48.38
16, Vs ,,7,Liam Livingstone,lbw b Kuldeep Yadav,27,46,2,0,58.69
17, Vs ,,8,Chris Woakes,st â€ Rahul b Jadeja,10,20,1,0,50.00
18, Vs ,,9,David Willey,,16,17,0,2,94.11
19, Vs ,,10,Adil Rashid, b Mohammed Shami,13,20,2,0,65.00
20, Vs ,,11,Mark Wood, b Bumrah,0,1,0,0,0.00
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Rohit Sharma(c),c Williamson b Southee,47,29,4,4,162.06
1, Vs ,,2,Shubman Gill,,80,66,8,3,121.21
2, Vs ,,3,Virat Kohli,c Conway b Southee,117,113,9,2,103.53
3, Vs ,,4,Shreyas Iyer,c Mitchell b Boult,105,70,4,8,150.00
4, Vs ,,5,KL Rahulâ€ ,,39,20,5,2,195.00
5, Vs ,,6,Suryakumar Yadav,c Phillips b Southee,1,2,0,0,50.00
6, Vs ,,1,Devon Conway,c â€ Rahul b Mohammed Shami,13,15,3,0,86.66
7, Vs ,,2,Rachin Ravindra,c â€ Rahul b Mohammed Shami,13,22,3,0,59.09
8, Vs ,,3,Kane Williamson(c),c Yadav b Mohammed Shami,69,73,8,1,94.52
9, Vs ,,4,Daryl Mitchell,c Jadeja b Mohammed Shami,134,119,9,7,112.60
10, Vs ,,5,Tom Lathamâ€ ,lbw b Mohammed Shami,0,2,0,0,0.00
11, Vs ,,6,Glenn Phillips,c Jadeja b Bumrah,41,33,4,2,124.24
12, Vs ,,7,Mark Chapman,c Jadeja b Kuldeep Yadav,2,5,0,0,40.00
13, Vs ,,8,Mitchell Santner,c Sharma b Mohammed Siraj,9,10,0,0,90.00
14, Vs ,,9,Tim Southee,c â€ Rahul b Mohammed Shami,9,10,1,0,90.00
15, Vs ,,10,Trent Boult,,2,2,0,0,100.00
16, Vs ,,11,Lockie Ferguson,c â€ Rahul b Mohammed Shami,6,3,0,1,200.00
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Vikramjit Singh,c Shakib Al Hasan b Taskin Ahmed,3,9,0,0,33.33
1, Vs ,,2,Max O'Dowd,c Tanzid Hasan b Shoriful Islam,0,3,0,0,0.00
2, Vs ,,3,Wesley Barresi,c Shakib Al Hasan b Mustafizur Rahman,41,41,8,0,100.00
3, Vs ,,4,Colin Ackermann,c Mustafizur Rahman b Shakib Al Hasan,15,33,1,0,45.45
4, Vs ,,5,Scott Edwards(c)â€ ,c Mehidy Hasan Miraz b Mustafizur Rahman,68,89,6,0,76.40
5, Vs ,,6,Bas de Leede,c â€ Mushfiqur Rahim b Taskin Ahmed,17,32,2,0,53.12
6, Vs ,,7,Sybrand Engelbrecht,lbw b Mahedi Hasan,35,61,3,0,57.37
7, Vs ,,8,Logan van Beek,,23,16,2,1,143.75
8, Vs ,,9,Shariz Ahmad,run out (Mahmudullah/â€ Mushfiqur Rahim),6,8,0,0,75.00
9, Vs ,,10,Aryan Dutt,c Mehidy Hasan Miraz b Shoriful Islam,9,6,0,1,150.00
10, Vs ,,11,Paul van Meekeren,lbw b Mahedi Hasan,0,2,0,0,0.00
11, Vs ,,1,Litton Das,c â€ Edwards b Dutt,3,12,0,0,25.00
12, Vs ,,2,Tanzid Hasan,c â€ Edwards b van Beek,15,16,3,0,93.75
13, Vs ,,3,Mehidy Hasan Miraz,c â€ Edwards b de Leede,35,40,5,1,87.50
14, Vs ,,4,Najmul Hossain Shanto,c van Beek b van Meekeren,9,18,2,0,50.00
15, Vs ,,5,Shakib Al Hasan(c),c â€ Edwards b van Meekeren,5,14,0,0,35.71
16, Vs ,,6,Mushfiqur Rahimâ€ , b van Meekeren,1,5,0,0,20.00
17, Vs ,,7,Mahmudullah,c Dutt b de Leede,20,41,2,0,48.78
18, Vs ,,8,Mahedi Hasan,run out (de Leede),17,38,1,0,44.73
